reference,system,r1_f
"astronomen können in zukunft möglicherweise auf den ersten blick sagen, was für planeten sich im orbit eines sterns vermutlich gebildet haben. diese hoffnung weckt zumindest eine studie im fachmagazin the astrophysical journal letters, in der ein team um sarah millholland von der yale university beobachtungsdaten des weltraumteleskops kepler ausgewertet hat. der nasa - satellit hatte bis zum ende seiner hauptmission im jahr2013 tausende planeten außerhalb unseres sonnensystems aufgespürt. millholland und ihre kollegen haben sich 37von kepler entdeckte planetensysteme vorgenommen, in denen mehr als ein planet seine bahnen zieht. in ihnen lässt sich dank winziger schwankungen der umlaufzeiten die masse der einzelnen himmelskörper abschätzen. die astrophysiker spürten dabei nun einen interessanten statistischen","ein mehrplanetensystem ( mts ) ist ein planetarer system bestehend aus mehreren planeten, die sich durch eine gemeinsame gesamtmasse auszeichnen. das mehrplanetensystem ist nach den entdeckern der kepler-mission von kepler benannt.",14.77
"menschen, die einen hund besitzen, leben länger und haben zudem ein geringeres risiko, herz - kreislauf - erkrankungen zu erliegen. darauf deutet zumindest eine große schwedische studie von forschern um mwenya mubanga von der universität uppsala hin. die wissenschaftler werteten die daten von mehr als 3, 4millionenschweden zwischen 40 und 80jahren aus, deren gesundheitszustand sie über 12jahre hinweg beobachtet hatten. besonders deutlich zeigte sich der hundehalter - effekt bei allein lebenden personen. in dieser gruppe ist das risiko, frühzeitig zu sterben, besonders hoch. singles mit vierbeiner hatten jedoch ein um 33prozent geringeres sterberisiko im untersuchungszeitraum als alleinstehende ohne hund. außerdem erlitten sie mit einer elf prozent geringeren wahrscheinlichkeit einen","hundebesiedlung ist die bezeichnung für verhaltensmuster, die bei züchtung von hunden auftreten. es gibt eine vielzahl von faktoren, die zur gesundheit und dem tod führen, und entscheidend sind für die entwicklung des hundes. eine studie aus dem jahr 2001 zeigte, dass eine hundbesiedlung einen untergeordneten risikofaktor für das ausmaß eines herzinfarkts darstellt. die todesfälle bei zusammenlebenden von hunden sind statistisch höher als bei nicht-zusammenhängenden haushalten, wohn",18.28
"zu den allerersten lebensformen, deren fossile überreste man heute noch findet, zählen die stromatolithen : durch bakterienkolonien hervorgebrachte gesteinsstrukturen, die einen charakteristischen schichtartigen aufbau zeigen. heutzutage sind diese lebensformen in stark salzhaltige seen oder andere extreme nischen verdrängt. denn die biofilme, aus denen sie bestehen, haben unter den meisten heutigen umweltbedingungen keine chance gegen fressfeinde. in tasmanien haben wissenschaftler nun jedoch stromatolithen entdeckt, die in einer weit weniger extremen umwelt überleben. wie das team um bernadette prömse von der university of tasmania in hobart schreibt, gedeihen diese kolonien in kühlen süßwassertümpeln, die nur schwach alkalisch sind. von ihrer entdeck",stromatolithen sind eine der ältesten bekannten formen von mikrobiellen lebensformen auf der erde. die erforschung von stromatolithen sowie die entdeckung von lebenden stromatolithen ist gegenstand der paläoklimatologie und paläozeanographie.,13.33
"kleidung der zukunft könnte helfen, energie für heizung oder klimaanlage einzusparen - indem sie den träger selbst entweder wärmt oder kühlt. wie das klappen könnte, macht ein team um yi cui von der stanford university vor : ihr neues verbundmaterial führt körperwärme ab oder sperrt sie ein, je nachdem, welche seite nach außen zeigt. sollte sich das material, das bislang leider noch eher einer folie als einem gewebe gleicht, als alltagstauglich erweisen, könnte man daraus zum beispiel einen allwetter - overall schneidern. laut tests der forscher in science advances erweitert der stoff den wohlfühlbereich seines trägers um über sechs grad celsius nach oben und unten : während eine lage normalen stoffs im bereich von etwa 17 bis 23grad die hauttemperatur in einem angenehmen rah",unter wärmemanagement versteht man die planung und steuerung der innen- und außentemperatur eines wohngegendes oder gebäudes. das konzept des wärmemanagements setzt sich zusammen aus strahlungsmanagement und thermomanagement.,12.12
"schon vor rund 8000jahren stellten menschen aus trauben wein her. das schließen archäologen aus dem fund von keramikgefäßen, die laut chemischen analysen beim keltern zum einsatz gekommen sein dürften. die scherben tauchten bei ausgrabungen im südkaukasus auf. bislang stammten die ältesten belege für den weinbau aus dem weiter südlich gelegenen iran. sie sind 600 bis 1000jahre jünger. in seiner veröffentlichung in pnas geht das forscherteam um patrick mcgovern von der university of pennsylvania nun davon aus, dass der weinbau tatsächlich im gebiet des heutigen georgiens entwickelt wurde und sich von dort ausbreitete. diese vermutung ließen schon genetische analysen heutiger weintrauben zu. auch heute noch finden sich mehr als 500verschiedene re","die shulaveri-shomutepe-kultur ( ssc ) ist eine frühneolithische kultur im westlichen zentral-ungarischen gebiet der heutigen staatshauptstadt tiflis. sie wird im wesentlichen durch die so genannte shulaveri-shomutepe-kultur des neolidischen jahrhunderts ( ca. 5900.000 v. chr. ), die mehr als 15 km nach westen, norden und süden durchquert, charakterisiert.",17.44
"mit einer beinspannweite von bis zu einem meter und einem gewicht von rund vier kilogramm gehören die palmräuber oder kokosnussdiebe ( birgus latro ) zu den größten krebsen der erde - an land übertrifft sie kein krustentier. mit ihren gewaltigen scheren können sie sogar kokosnüsse knacken und kilogrammschwere gewichte in die höhe heben. und sie können diese scheren auch einsetzen, um große beute zu schlagen, wie eine beobachtung von mark laidre vom dartmouth college und seinem team in den frontiers in ecology and the environment erstmals belegt. der biologe hielt sich von januar bis märz2016 auf dem chagos - archipel im indischen ozean auf, als er das bislang unbekannte verhalten sah. ein palmräuber kletterte nachts auf einen baum","die schnabel ( pl. chelae ) ist das zentrale organ verschiedener tiergruppen, die mit ihren, oft schnabelförmig verlaufenden vorspringenden klauen beweglich agieren. in der ökologie bezeichnet die schnabel allgemein eine angeborene oder durch die fortschreitende entwicklung des körpers entstandene komplexe einzelbewegung, die in verschiedenen bereichen der ökologie nachgewiesen werden konnte.",13.79
"weltweit existieren wohl nur noch drei nördliche breitmaulnashörner ( ceratotherium simum cottoni ): der bulle sudan, seine tochter najin und seine enkelin fatu. faktisch ist diese unterart der breitmaulnashörner also ausgestorben, zumal die beiden weibchen laut veterinärmedizinischer untersuchungen auf natürliche weise nicht empfängnisfähig sind und sudans spermienzahl angesichts seines fortgeschrittenen alters von 43jahren mittlerweile sehr niedrig liegt. es ist also nur noch eine frage der zeit, bis auch theoretisch keine fortpflanzung mehr möglich ist. immerhin rührt sudans schicksal die weltgemeinschaft, wie ein twitterpost des biologen daniel schneider zeigt. innerhalb weniger stunden wurde es zigfach in den sozialen medien geteilt","das nordwestliche weiße rhino ( „ rhino des weißen “ ) ist eine säugetierart aus der gattung der rhinos. es lebt in zentralafrika und ist die einzige art des weißen rhinos, die auf dem afrikanischen festland lebt.",16.78
"man könnte von pech reden, wenn man als hoch entwickelte lebensform plötzlich und unerwartet mit drei vierteln aller lebewesen der erde von einem asteroidentreffer ins jenseits befördert wird. tatsächlich war der schicksalsschlag gerade für die dinosaurier sogar verdammtes pech, meinen nun japanische forscher - denn wäre der chicxulub - asteroidentreffer ein wenig weiter rechts oder links vom tatsächlichen einschlagpunkt erfolgt, dann hätten außer den vögeln zumindest auch einige dinos der totalen auslöschung entgehen können. tatsächlich aber traf der dinosaurierkiller vor rund 66millionen jahren wohl genau da, wo er maximalen schaden anrichten konnte, meinen die forscher um kunio kaiho von der tohoku university im japanischen sendai in scientific reports. entscheidend dafür war die sehr kohlenstoff - und schwefel","der chic-bucht-krater ( abkürzung für englisch chicxulub asteroid impact, gesprochen „ chic-schacht “ oder „ schacht “ ) ist ein asteroideneinschlag vor der asteroidenkrater-grenze im südosten der usa. sechs millionen jahre nach dem einschlag bedeutete in der folge für die entwicklung der wirbellosen und wirbeltieren ( heute paracelsus ) eine häufung von massensterben auf der erde. die folge war eine weltweite, aufgrund des einschlags auf atmosph",22.56
"australiens fauna steht von mehreren seiten unter druck : das land schneidet weltweit mit am schlechtesten ab, wenn es um den schutz seiner tierwelt geht. neben der immer noch ausgedehnten abholzung der wälder bedrohen vor allem der klimawandel und eingeschleppte arten wie kaninchen, katzen und füchse die biodiversität - die bramble - cay - mosaikschwanzratte gilt sogar als eines der ersten opfer der erderwärmung auf dem 5. kontinent. eine studie von aaron greenville von der university of sydney und seinem team zeigt nun, wie klimawandel die probleme durch invasive spezies noch verschärfen kann. die betroffenen einheimischen tierarten könnten sich demnach noch einigermaßen an die aufheizung anpassen, doch führen einige folgeerscheinungen dazu, dass sie leichter","die paläoklimatologie ist eine interdisziplinäre wissenschaft, die sich mit den einflussen des klimas auf ökosysteme und die ökosystemtheorie befasst. sie befasst sich mit der wechselwirkungen zwischen verschiedenen einflüssen des klimas, seinen wirkungen auf ökosysteme und der auswirkungen auf lebensräume sowie der wechselwirkungen, die zwischen arten und ökosystemen eintreten. die praktische umsetzung der forschungsmethoden ist die paläoklimatologie.",21.23
"unterwasserarchäologen haben das wahrscheinlich älteste bekannte see - astrolabium der welt gefunden. es stammt aus dem wrack der esmeralda, einem schiff aus der flotte von vasco dagama, das 1503 vor der küste des omans sank. erst ein 3 - d - laserscan, den jetzt forscher um mark williams von der university of warwick durchführten, offenbarte die ursprüngliche funktion der unscheinbaren bronzescheibe : bei dem scan wurden regelmäßige randmarkierungen im abstand von fünf grad sichtbar. sie sind typisch für dieses instrument. während die ursprünge der astrolabien selbst in der antike liegen, wurden die stark vereinfachten see - astrolabien erst ende des 15. jahrhunderts - also kurz bevor der portugiesische entdecker sich zu seiner fahrt nach indien aufmachte -","das schiffswrack hunter ( engl. : shipwreck hunter ) von david mearns ist ein englischsprachiges buch des britischen autors kirk mearns, das in den 1960er jahren hauptsächlich auf den gebieten der ozeanforschung und archäologie basiert.",10.46
"als der anatomisch moderne mensch seine warme heimat afrika verließ, war er anpassungsfähig genug, sich auch in kälteren regionen niederzulassen - die neandertaler, auf die er dann im eiszeit - europa stieß, dürften ihm allerdings in manchen punkten voraus gewesen sein : sie hatten über jahrhunderttausende verschiedene anpassungen an das leben im rauen norden perfektioniert. dazu gehören auch anatomische und physiologische details, berichten im fachmagazin pnas nun forscher um rodrigo paz vom consejo nacional de investigaciones científicas y técnicas in buenos aires : neandertalernasen, so die forscher, waren wohl zum beispiel prädestiniert für das atmen im kalten. die wissenschaftler meinen das nach intensiver analyse von nasenpartien und atemwegen zweier neandertaler, die sie auf der basis von","die nasale morphologie ist ein teilgebiet der modernen anatomie und gleichzeitig ein interdisziplinäres forschungsgebiet der paläoklimatologie. sie befasst sich mit den änderungen der anatomischen gestalt, die bei manchen populationen der veränderungen des atemtraktes im verlauf der veränderung von temperatur und luftfeuchtigkeit auftreten. während die nasale morphologie sich in der entstehungszeit der modernen menschen ( mhs ) und der des neandertalers ( νs ) in europa erstreckt",16.04
"eine über zehn meter hohe flutwelle traf am 17. juli1998 die stadt aitape an der nordküste papua - neuguineas, zerstörte mehrere küstendörfer völlig und tötete mehr als 2000menschen. doch sie waren keineswegs die ersten opfer dort : laut einer arbeitsgruppe um james goff von der university of new south wales in sydney gehörte ein nahe aitape gefundener kopf zu einem menschen, den möglicherweise das gleiche schicksal ereilte - vor 6000jahren. wie das team in plosone berichtet, lag das schädelfragment etwa zwölf kilometer im landesinneren in den sedimenten eines mangrovensumpfs. allerdings erwies sich die fundschicht als ungewöhnlich : die vier schädelteile ruhten in einer ausgewaschenen senke, die muschelschalen","der aitape-schädel, auch aitape-schädel ( engl. : aitape skull ), paläotsunami-schädel oder paniriek-schädel genannt, ist ein schlüssel-element der paläozeane. er ist aufschluss über die nachgewiesene überreste von menschen, die während des pleistozäns lebten, begraben wurden.",14.91
"sie gehörten zu den ersten bäumen auf erden : im nordwesten von china haben forscher jetzt fossilien von über 300millionen jahre alten holzstämmen entdeckt. diese außergewöhnlich gut erhaltenen dicken stümpfe geben zeugnis, wie diese pflanzen auf baumgröße heranwachsen konnten, berichtet das team jetzt in der fachzeitschrift proceedings of the national academy of sciences. es handelt sich um überreste einer art aus der gruppe der cladoxylopsida, genannt xinicaulis lignescens : palmenähnliche bäume mit gefächerter krone, die eine höhe von zwölfmetern erreichen konnten. sie eroberten das land vor rund 390millionen jahren und leiteten damit als erste bäume eine schlüsselphase der naturgeschichte ein ; sie veränderten die erde und ihre atmosph","cladoxylopsida ist die bezeichnung der ersten großen bäume der erdgeschichte, die ab dem späten devon im mittleren und frühen devon entstand. sie waren die ersten großen bäume, die in der geschichte der erde eine bedeutende rolle spielten. ihre systematische bezeichnung ist abgeleitet vom lateinischen wort clas = bäume und griechischen buchstaben wp = baum, sowie der lateinischen bezeichnung cladoxylopsus = ‚baum ‘.",22.7
"angeblich wusste es bereits aristoteles : heißes wasser gefriert rascher als kaltes. zumindest unter gewissen umständen. die beobachtung geriet aber wieder in vergessenheit, bis der 13 - jährige schüler erasto mpemba in den frühen 1960erjahren beschloss, speiseeis herzustellen. überraschenderweise gefror die warme milch schneller als die kalte. als student ging mpemba diesem phänomen auf den grund und veröffentlichte eine abhandlung darüber. seitdem haben etliche wissenschaftler versucht, die ursache für den » mpemba - effekt « zu finden - ohne abschließenden erfolg. wieso sollte heißes wasser schneller seine energie verlieren als kaltes? es muss ja erst mal die gleiche temperatur erreichen wie die kühlere version – und das braucht zeit, es müsste gewissermaßen das kalte wasser","der mpemba-effekt beschreibt die schnellere abkühlung von wasser unter den vorherrschenden temperaturbedingungen, als es bei angelegter anfänglicher temperatur abkühlt. der effekt wurde 2012 von der royal society of chemistry ( rsc ) entdeckt und ist nach dem britischen chemiker und physiker sir edward mpemba ( 1918–1998 ) benannt.",15.2
"auch mit einzelnen kunststoffmolekülen lassen sich digitale daten speichern. diese polymeren datenspeicher wären 100 - mal kleiner als übliche festplatten. wie man dabei vorgehen könnte, zeigen nun forscher um abdelaziz alouahabi von der université de strasbourg in der aktuellen ausgabe des fachmagazins nature communications. sie verschlüsselten mehrere bytes in form eines langkettigen moleküls und lasen es anschließend wieder aus. als lesegerät diente ein massenspektrometer. jedes bit entspricht dabei einem baustein des polymers. um die nullen und einsen des binärkodes darzustellen, benötigen die forscher also insgesamt zwei durch phosphatgruppen unterschiedene bausteine ( monomere ), die sie wie perlen einer kette aneinanderreihen. nach je acht bits fügten alou","ein digitaler makromolekül ist ein makromolekül, das in der lage ist, daten zu speichern. die bezeichnung „ digitales makromolekül “ ist geläufig, obwohl es sich nicht um ein natürlich vorkommendes polymer handelt. digitale makromoleküle können, wie oligonukleotid-moleküle, in abhängigkeit von ihrer struktur, in verschiedene speicher-kapazitäten lokalisiert werden.",17.65
"gesichtsausdrücke bei hunden sind keineswegs nur unwillkürliche anzeichen von emotionen - sondern aktive kommunikation mit menschen. zu diesem schluss kommt eine arbeitsgruppe um juliane kaminski von der university of portsmouth anhand von versuchen, in denen die gesichtsausdrücke von hunden abhängig von der situation aufgezeichnet wurden. dabei zeigte sich, dass die tiere signifikant mehr unterschiedliche gesichtsausdrücke zeigten, wenn die aufmerksamkeit eines menschen auf sie gerichtet war, als wenn der mensch abgelenkt ist. ein nichtsozialer stimulus wie futter dagegen beeinflusste die hundemimik gar nicht. das zeigt nach ansicht der autorinnen, dass die hunde über ihre gesichtsausdrücke möglicherweise aktiv kommunizieren. mimik, also die fähigkeit, den gesichtsausdruck zu verändern, ist","gesichtsausdruck ist ein begriff aus der verhaltensbiologie und bezeichnet ein spektrum von ausdrücken, die einerseits auf den rücken eines menschen gerichtet sind und andererseits als bezeichnung für ein unbewusstes, in der regel unbewusstes verhalten von säugetieren erscheinen. die gesichtsausdrücke haben einen gewissen sprachgebrauch, da sie einerseits auf den rücken der säugetiere gerichtet sind und andererseits auf den menschen treffen, kommunizieren und/oder gefühle ausdrücken.",25.67
"künstliche intelligenz wird die gesundheitsversorgung von morgen revolutionieren, glauben etliche experten ; viele ansätze stecken aber noch in den kinderschuhen. nun haben ärzte und wissenschaftler eine technologie entwickelt, die mittels maschinellen lernens ( englisch : machine learning ) erkennen kann, welche herdbefunde in der brust – so genannte brustläsionen – sich wahrscheinlich zu krebs entwickeln werden. maschinelles lernen ist eine art künstliche intelligenz, bei der ein system anhand von erfahrungen automatisch lernt und sich verbessert. laut den forschern hat ihre methode das potenzial, unnötige operationen zu reduzieren. für seine studie beobachtete das team, bestehend aus wissenschaftlern des massachusetts institute of technology und des computer science and artificial intelligence laboratory in cambridge, massachusett","machine learning ( auch : machine learning random forest ) ist ein forschungsprojekt der university of western australia in neuseeland, das sich mit der behandlung von gutartigen brustkrebserkrankungen ( hrls ) befasst. das ziel des projekts ist, die forschung auf medizinisch relevante aspekte des krebses zu unterstützen und zu fördern.",23.9
"der weg durch den geburtskanal der mutter ist sicherlich nicht angenehm, aber die strapaze wird offenbar belohnt. laut einer landesweiten längsschnittstudie in australien können kinder, die auf natürlichem weg geboren werden, mit acht bis neun jahren besser rechnen, lesen und schreiben als kinder, die per kaiserschnitt das licht der welt erblickten. ein team um den neurowissenschaftler joel bornstein von der university of melbourne verfolgte die entwicklung von 3666repräsentativ ausgewählten neugeborenen bis ins alter von acht bis neun jahren. die per kaiserschnitt geborenen kinder schnitten in einer reihe von tests zu grammatik, rechen -, lese - und schreibfertigkeiten etwas schlechter ab, wie die wissenschaftler im fachmagazin scientific reports berichten. auf sozioökonomische unterschiede","als cesarean-geburt oder pränatal-hodon-geburt bezeichnet man in der entwicklungspsychologie die eingriffe, die bei einer scheidung, einem sogenannten caesarean, dazu führen, dass der fötus nicht über die notwendigkeit hinausgeht. die bis dahin übliche abkürzung cesarean birth stammt aus dem englischen und hat sich in der deutschsprachigen literatur etabliert.",16.57
"sie schmeckt wie edle vanillecreme, dafür riecht sie nach ansicht von verächtern wie eine latrine im hochsommer : an der stinkfrucht, durian genannt, scheiden sich die geister. nun hat eine arbeitsgruppe um bin tean teh von der national university of singapore das erbgut des in ihrer heimat südostasien als königin der früchte bezeichneten obstes sequenziert - und ist dabei dem geheimnis ihres berüchtigten geruchs nähergekommen. wie das team in nature genetics berichtet, besitzt die stinkfrucht vierkopien des gens für ein enzym namens methionin -- lyase ( mgl ). das baut die schwefelhaltige aminosäure methionin ab, und dabei entstehen aus dem enthaltenen schwefel leicht flüchtige schwefelverbindungen (",durianen ( durio zibethinus ) sind eine pflanzengattung aus der familie der helicteroideae. die etwa 60 arten der gattung durianus stammen aus dem tropischen südostasien. die durianfrüchte finden als nahrungsmittel und werden in vielen tropischen ländern angebaut.,18.92
"im jahr 2010 erschütterte eine messung am max - planck - institut für quantenoptik ( mpi ) in garching die welt - oder zumindest ein teilchen, das die welt mit zusammenhält : physiker um randolf pohl ermittelten damals, dass der radius des protons vier prozent kleiner sei als der lange geltende offizielle wert. seither versuchen wissenschaftler immer wieder, das proton neu zu vermessen, denn die abweichung könnte auch das standardmodell der teilchenphysik ins wanken bringen, sollte sich der grund dafür nicht aufklären lassen. ein neuer versuch von axel beyer vom mpi und seinem team löst dieses rätsel zwar noch nicht, bestätigt aber, dass der wert aus dem jahr 2010 zumindest kein fehlerwar. in ihrem experiment beobachteten die physiker eine bislang noch nicht exakt","das proton radius-problem ( englisch proton radius puzzle ) ist ein mathematisches rätsel, bei dem es darum geht, den abstand der protonen vom wasserstoff in der umgebung von h-atomen zu bestimmen.",16.46
"es wäre zu schön gewesen : außerirdische, die mit hilfe einer dyson - sphäre energie von kic8462852 gewonnen hätten - was wir in form von stark schwankenden helligkeitsunterschieden des sterns auf der erde bemerkt hätten. doch die wahrheit um tabbys stern ist wohl profaner, wie eine neue studie von astronomen um huan meng von der university of arizona und tabetha boyajian von der louisiana state university im astrophysical journal nahelegt. boyajian gehört zu den erstbeschreibern der unregelmäßigkeiten des sterns im jahr2015. seitdem lässt ihr kic8462852 keine ruhe mehr. der berühmte stern flackert in unregelmäßigen abständen, bisweilen bricht seine helligkeit um bis zu 20prozent ein. zusammen mit kol","kic 8462852, auch bekannt als boyajian, ist ein hauptreihenstern der spektralklasse f im sternbild schwan am nordsternhimmel. er ist etwas mehr als zehn lichtjahre von der sonne entfernt und hat einen durchmesser von etwa 45.000 lichtjahren.",13.07
"das menschliche gehirn ist gewissermaßen plastisch, kann es sich doch ein leben lang an neue bedingungen anpassen. ein forscherteam vom max - planck - institut für kognitions - und neurowissenschaften in leipzig hat nun herausgefunden, dass dieser effekt auch bei sozialen fähigkeiten auftritt. bisher war unklar, inwieweit solche neuronalen veränderungen auch diejenigen bereiche des gehirns umfassen, die insbesondere unser sozialverhalten steuern. für seine arbeit entwickelte das team drei unterschiedliche mentale übungsmethoden : das erste modul trainierte die achtsamkeit und aufmerksamkeit, das zweite sozioaffektive fähigkeiten wie mitgefühl und dankbarkeit. im dritten programm kultivierten die teilnehmer ihre soziokognitiven fertigkeiten, insbesondere die fähigkeit zur perspektivübernahme. trainiert wurde jeweils eines der module über mehrere mon","soziale fähigkeiten sind komplexe kognitive fähigkeiten, die in verschiedenen situationen erworben und weiterentwickelt werden, um mit anderen zu interagieren. sie sind voraussetzung für erfolgreiches soziales handeln. allerdings sind diese fähigkeiten in der regel erst zu erwerben, nachdem sie zuvor intensiver trainiert wurden. es handelt sich bei diesen fähigkeiten um komplexe kompetenzen, die in enger zusammenarbeit mit anderen zu realisieren sind. es werden dabei drei wichtige aufgaben unterschieden : konditionierung, aufmerksamkeit, kogni",19.9
"der heilige nikolaus war für seine gaben und hilfe für die armen bekannt. auf seiner person gründet die legende vom nikolaus ( und auch vom weihnachtsmann ), und viele glaubensgemeinschaften des christentums verehren ihn noch heutzutage. in der provinz antalya entdeckten forscher bei der radar - vermessung einer altertümlichen tempelanlage nun ein gräberfeld. sie vermuten, dass die berühmte person dort ihre letzte ruhe fand, wie laut der englischsprachigen türkischen zeitung dailysabah ein beteiligter archäologe der türkischen zeitung hurriyet berichtete. die mutmaßlichen gräber befinden sich genau unter der sankt nikolauskirche in demre, antalya – der stadt, die auf den ruinen von myra erbaut wurde. dort soll der heilige nikolaus im 4.",santa claus ist der name eines archäologischengrabes in der türkischen stadt antalya. es handelt sich um die grabstätte des christlichen säugetiers santa claus.,15.28
"das gehirn eines bilingualen menschen verarbeitet nicht nur zwei sprachen als muttersprache, sondern auch neue fremdsprachen. das berichtet ein team um michael ullmann von der georgetown university in der fachzeitschrift bilingualism : language and cognition. der hirnforscher und seine kollegen unterrichteten 13zweisprachige und 16einsprachige probanden in brocanto2, einer künstlichen fremdsprache mit einer grammatik ähnlich der von romanischen sprachen. alle teilnehmer waren in den usa mit englisch als muttersprache aufgewachsen, die bilingualen jedoch zusätzlich mit mandarin. zu beginn und am ende des einwöchigen kurses wurde die hirnaktivität der sprachschüler mit elektroden gemessen, während sie der künstlichen fremdsprache lauschten und etwaige grammatikfehler","der begriff l2-lernprozess bezeichnet die prozesse, die bei der erlernung und verarbeitung einer zweiten sprache ( l2 ) im adulten bereich auftreten. dabei handelt es sich um eine erweiterung des l2-trainings, bei dem die l2-sprache als muttersprache verwendet wird.",13.7
"ein monotoner vortrag, ein schier endloses meeting : wenn sich absolut nichts spannendes ereignet, nicken wir zuweilen vor langeweile ein. dahinter steckt offenbar ein eigener steuermechanismus, der unabhängig vom üblichen schlaf - wach - rhythmus operiert. das berichtete ein forscherteam aus japan und china in der fachzeitschrift » nature communications «. zwei systeme steuern den normalen nächtlichen erholungsschlaf, erläutern die forscher um yo oishi von der universität in tsubaka ( japan ). erstens steigt der schlafdruck und macht uns müde, je mehr es körper und geist nach regeneration verlangt, zweitens reguliert die innere biologische uhr, wann die zeit dazu gekommen ist. » schlafen und wachen werden aber auch von kognitiven und emotionalen",schlafentzug ist der willentliche entzug von schlaf zu einem schlaf. schlafentzug bezeichnet das aktive ( bewusstseinsverändernde ) ausrufen von schlaf- und wachphasen und ist ein zentraler bestandteil der schlafhygiene. das schließen der schlaf- und wachphasen unterstützt diese funktion. schlafentzug ist zu unterscheiden von schlafverstimmung.,15.48
"heutige wombats sind eher possierliche tierchen mit einem gewicht von maximal 40kilogramm. doch bis vor etwa 25000jahren lebten verwandte von ihnen, die wahre giganten waren : diprotodon optatum brachte es auf eine schulterhöhe von knapp zwei metern und ein gewicht von bis zu drei tonnen, was die spezies zu den größten bekannten beuteltieren machte - in den dimensionen eines nashorns. aber das war nicht die einzige besonderheit von diprotodon optatum, wie gilbert price von der university of queensland und sein team in den proceedings of the royal societyb darlegen. die tiere absolvierten regelmäßige saisonale wanderungen durch den outback, um zu neuen weidegründen zu gelangen. das schließen die paläontologen aus charakteristischen ablagerungen im zahnsch","die diprotodontologie ist ein teilgebiet der zoologie, das sich mit der erforschung der megafauna befasst. thema der diprotodontologie ist die wissenschaftliche untersuchung des diprotodonts, einer der ältesten und am längsten bekannten marsupialen. bemerkenswert ist dabei, dass die „ diprotodontologie “ sich mit der wissenschaftlichen untersuchung von megafauna befasst, die bereits seit dem aussterben von diprotodon australia bekannt ist. hier tauchen sowohl die diprotodonen",15.64
"bereits das vierte bekannte paar verschmelzender schwarzer löcher vermelden die arbeitsgruppen an den gravitationswellendetektoren ligo und virgo in physical review letters. demnach verschmolzen in einer entfernung von 1, 1 bis 2, 2milliarden lichtjahren zwei löcher mit massen vom 25 - und 30 - fachen der sonne. für den virgo - detektor ist die am 14. august 2017 aufgefangene welle das erste nachgewiesene signal - nach nur zwei wochen betrieb. zusammen mit den beiden detektoren der ligo - kollaboration ist das der erste nachweis mit drei unabhängigen detektoren. dadurch kann das team die quelle mit der nahezu 20 - fachen genauigkeit lokalisieren : das ereignis spielte sich in einem himmelsareal mit etwa der 300 - fachen fläche des vollmond","ligo-observatorium ist der name eines experimentellen forschungsprojekts der university of chicago zur untersuchung der gravitationsstrahlung, die von dem ligo-observatorium im zentrum der university of pittsburgh im us-amerikanischen bundesstaat illinois emittiert wird. der projekt wird von zwei wesentlichen wissenschaftlern betrieben, den physikern jerry j. ligo und michael e. virgo. die erste kooperation zwischen den beiden observatorien besteht seit 2004.",20.45
"enten gehören zu den wenigen vögeln, die für die fortpflanzung einen penis nutzen - und dieser phallus ist bei einigen arten auch von der form her unter wirbeltieren ziemlich einzigartig : er ist korkenzieherartig angelegt. das hängt wiederum damit zusammen, dass die vagina der weibchen ebenfalls spiralförmig angelegt ist. sie wollen damit verhindern, dass das falsche männchen erfolgreich seine spermien in der nähe der eierstöcke platzieren kann - entenpaarungen können sehr ruppig bis hin zu vergewaltigungen ablaufen ; bisweilen werden weibchen sogar versehentlich ertränkt, wenn gegen ihren willen eine kopulation stattfinden soll. im gegensatz zum menschlichen glied schwillt der erpelpenis jedoch nicht pro akt, sondern je nach saison an : zur paarungszeit ist er zehnmal größer als beispielsweise während der mauser. die","die genitalmorphologie ist ein teilgebiet der biologie, das sich mit der morphologie der männlichen genitalien beschäftigt. als wesentliche forschungsrichtung ist sie in die bereiche physiologie, ökologie und evolutionsbiologie einzuordnen. sie untersucht die evolutionären prozesse, die mit dem auftreten der männlichen fortpflanzungsfähigkeit, mit denen sich männer in der lage sind, ihre fortpflanzungserfolge zu steigern, und wie diese sich mit äußerlichen einflüssen",19.29
"die riesigen frösche der art beelzebufo ampinga, die vor rund 68millionen jahren madagaskar bevölkerten, könnten so mächtige kiefer gehabt haben, dass sie sogar dinosauriern gefährlich wurden. das legt eine studie nahe, die wissenschaftler um kristopher lappin von der california state polytechnic university in pomona im fachmagazin scientific reports veröffentlichten. lappin und seine kollegen untersuchten eigentlich die beißkraft von hornfröschen ( ceratophrys cranwelli ) verschiedenster größe, die heute im süden amerikas leben. die amphibien zeichnen sich vor allem durch ihre riesigen, runden köpfe mit großen mäulern aus, die ihnen im englischen sprachraum auch den spitznamen pacman frogs eingebracht haben. im gegensatz zu den meisten anderen fro","die bite-force-leistung ( engl. bite force ) ist ein begriff aus der biologie und verhaltensforschung. die bite-force-leistung wird durch die stärke der stichwanz ( engl. bite ) bestimmt, welche bei der aufnahme von tierischen lebensformen ( z. b. amnioten, myriale, gurken etc. ) mit der größe des tierischen körpers zusammenhängt. die stärke der stichwanz wird durch muskelkontraktion bestimmt und hängt neben",16.57
